vs@0,vs@1,vs@2,vs@3,vs@4,vs@5,vs@6,vs@7,vs@8,vs@9,vs@10,vs@11,vs@12,vs@13,vs@14,vs@15,vs@16,vs@17,vs@18,vs@19,vs@20,vs@21,vs@22,vs@23,vs@24,vs@25,vs@26,vs@27,vs@28,vs@29,vs@30
1059.1417,945.0406,918.9854,883.93915,917.30164,911.61755,992.2345,989.96045,985.2575,982.1862,1016.02734,1001.7734,1031.79,1063.8013,1072.4458,1091.5061,1115.4276,1138.6351,1140.5155,1160.4583,1194.6207,1184.1525,1154.5516,1162.4008,1198.4908,1222.9352,1270.1512,1293.9839,1308.5864,1322.8427,1333.9579
430.3686,514.8567,499.0196,498.2516,506.6577,507.49023,514.2133,524.4952,543.58636,539.98016,555.25946,554.15753,583.9783,587.21454,613.4121,621.50323,629.75494,643.1404,651.0374,671.83057,702.99396,720.4277,714.08014,732.5185,729.85077,775.93384,787.0343,765.78143,805.7164,806.7608,813.01154
728.91394,766.68567,748.4131,728.4404,730.9754,729.38,744.84314,742.2883,752.6837,744.6849,751.58264,762.9852,787.12665,824.62317,842.5518,854.324,872.6691,887.8989,890.8439,906.4401,937.79083,942.2103,941.6052,962.3244,973.6895,1005.3747,1043.4131,1036.8165,1047.6494,1062.9126,1068.6707
453.4738,409.9295,393.71606,374.7838,367.2756,364.13406,367.17508,362.34598,368.0056,372.47156,383.1542,398.37958,410.77728,427.33347,437.17267,446.13007,459.64136,470.5724,484.43347,498.91956,516.17456,545.18414,558.64197,578.77576,579.9726,613.95026,638.5851,632.4781,654.9454,656.4266,659.7535
469.07068,425.32742,403.5236,377.58966,363.7493,358.31363,359.39203,353.56058,358.18542,362.36176,371.95248,387.70096,399.27304,414.36884,422.83182,430.6308,442.46515,449.853,461.47897,474.81805,486.60352,512.06714,524.6016,540.9907,539.405,569.788,591.19415,585.7709,606.39343,611.1918,615.83496
1062.8387,927.95856,897.45074,864.15894,906.65936,904.1464,988.96545,986.2938,981.2315,976.50757,1011.6747,996.32263,1024.5111,1053.8821,1061.2192,1080.8606,1103.4232,1124.9629,1125.0966,1145.9026,1179.791,1168.9908,1140.1439,1147.7065,1182.423,1208.7192,1252.331,1272.9005,1289.9164,1304.1838,1317.952
420.67358,345.6335,309.21347,289.58163,287.40588,303.24072,307.21268,307.77634,315.50854,320.64972,324.11877,346.36978,360.47382,371.06027,381.05576,388.53403,398.72882,403.8776,412.42633,430.1894,438.00574,459.6827,469.76202,481.464,479.60144,498.74652,511.0804,516.3938,532.03186,536.6042,539.5978
444.25436,520.7389,509.08316,509.63013,517.9417,518.02594,525.47784,536.70685,554.12524,552.41437,565.3052,563.83374,596.81494,597.7481,625.6079,634.44684,643.33026,657.3268,665.24036,687.67175,720.12384,735.4962,729.20703,749.2832,748.2901,793.7633,806.47473,790.17395,826.60535,827.16156,831.8186
496.69968,490.70258,517.7731,533.18427,562.0167,578.4096,608.92053,618.83905,625.54816,636.56805,651.984,662.06226,691.8334,722.3959,747.1449,768.0362,804.7597,837.9018,856.8955,889.9066,949.2433,973.1571,990.62305,1039.9719,1121.481,1170.6669,1295.1324,1408.5032,1432.8357,1500.212,1503.004
615.16833,625.3874,666.44916,681.42413,712.6547,712.16327,748.08594,753.7033,754.11475,755.83936,768.3441,775.7022,797.2793,828.0578,841.97174,861.3699,887.9001,905.08,904.7817,931.12866,973.71106,975.7956,973.66504,996.0762,1022.73346,1053.533,1101.0165,1116.3485,1126.716,1136.8186,1131.8475
301.59006,279.9313,276.60715,271.70444,270.5717,287.32,293.08188,293.7004,302.54346,308.12238,305.60123,328.01242,347.19763,354.4029,366.93927,373.7089,386.34247,391.9698,402.00775,417.63464,428.3059,452.45508,461.8987,473.55756,468.29187,483.60907,487.3296,495.71414,512.72327,516.34546,524.18854
1092.6927,1010.16846,996.0051,962.9225,991.5265,980.1949,1061.8414,1057.4861,1049.8586,1049.3954,1083.0674,1068.1404,1103.5631,1139.4104,1150.171,1167.0834,1193.751,1222.2733,1228.6428,1246.6947,1279.5856,1266.8723,1231.1984,1235.9589,1277.8601,1297.3683,1350.3574,1385.2231,1397.5859,1415.1705,1422.2529
632.82007,466.69888,379.6883,351.16345,342.50903,355.7032,354.5702,342.67764,362.1324,364.62784,384.64084,399.41428,395.68402,405.187,412.41782,422.46155,433.54807,433.0803,443.25723,462.05923,463.32648,485.19553,487.75482,499.59866,502.22495,532.99304,548.3877,542.78864,562.13904,571.71,578.6153
753.5369,672.2771,671.10815,700.819,733.5882,727.19727,760.52106,774.8246,778.64246,781.5072,784.54816,787.94196,823.02576,841.6899,854.37463,875.18616,897.3242,909.9251,905.85565,932.7117,977.38416,980.47546,973.096,990.6104,1011.68195,1042.4065,1087.5793,1094.1428,1105.1321,1117.9341,1111.9513
268.8729,236.53323,224.34282,228.96478,223.53755,236.49509,238.02449,239.91374,250.91957,251.22046,252.10065,268.94348,289.3772,292.83136,307.26575,316.2171,325.84744,326.02646,341.5541,350.8096,354.83328,377.43256,379.9143,399.30173,388.68555,399.2069,404.2177,414.91232,425.51343,430.71857,440.36053
422.7951,408.93198,409.99475,403.0005,408.42502,415.9219,412.7248,411.5176,431.86163,422.79175,449.17917,458.52106,461.24368,478.28937,491.70874,501.6908,510.74078,520.5879,532.739,550.00055,562.93164,587.7495,585.8371,600.47174,596.01764,637.46545,651.6878,629.0153,662.09064,666.9785,674.00055
434.13556,358.2784,313.78406,288.67398,283.90405,300.09253,304.0711,304.26962,312.09607,316.42673,319.56525,342.32468,355.82062,365.87164,376.11423,383.33057,393.2962,398.28265,406.39597,423.81635,431.10648,452.19785,460.94257,473.0508,470.4937,489.09164,498.6283,505.40707,521.8572,525.9549,530.46674
277.76715,244.39813,231.35898,234.86063,229.44318,243.46155,245.6772,247.25763,258.74817,259.1012,259.17188,277.3188,297.19748,301.34882,315.50372,324.23816,333.92618,334.1137,348.47205,358.7312,363.52127,385.80637,388.35483,407.2972,397.11414,407.51077,412.12744,423.15613,435.248,439.88144,448.9664
302.20016,256.36856,237.38872,237.89748,232.02898,246.0662,248.76161,250.35384,261.9758,262.24615,262.2671,280.73926,299.84177,304.87833,318.5833,327.366,336.79633,336.9068,350.3933,361.14783,365.727,387.3465,389.77045,408.5074,398.8173,409.29175,413.6759,424.51315,437.3955,441.9433,450.75333
278.12363,241.71793,227.11792,230.75531,225.43167,238.68799,240.51877,242.34161,253.58685,253.55408,254.48727,271.78552,291.28827,295.35736,309.3915,318.5246,327.8644,327.94025,342.82397,352.5541,356.3047,378.33365,380.58896,399.85852,389.54114,400.40463,405.23254,415.7257,427.05173,432.08344,441.61368
293.38394,253.99638,238.2327,239.63441,233.88351,248.3869,251.13872,252.54013,264.05136,264.73068,264.28116,283.1554,302.82788,307.65384,321.4565,330.06726,339.9106,340.2149,353.6654,364.5527,370.10513,392.23807,394.93555,413.355,403.81326,413.95728,418.37738,429.60947,442.7288,447.0477,455.57864
339.90842,419.60712,456.25925,443.72205,451.91092,446.51248,457.52994,461.29,474.19385,478.03464,487.79016,491.68622,521.81006,524.6122,550.58826,566.419,582.75616,596.6523,610.94226,635.04034,669.6269,692.05035,688.4097,703.98004,698.32684,753.9379,748.36383,746.85724,786.7089,767.7968,782.18835
706.5968,637.6201,645.2198,662.8662,686.7974,683.29767,712.3977,723.7189,726.94763,731.1835,737.3032,742.3083,772.50146,792.435,806.6917,825.1194,844.5055,858.081,855.369,882.1695,925.5968,929.30804,925.43677,944.1624,956.39484,991.78033,1029.0377,1029.1008,1045.1752,1057.238,1056.2123
371.32602,393.70914,409.1796,403.3111,407.80496,409.07193,409.8208,410.0584,424.71237,422.93286,439.83508,452.03287,462.1483,477.23984,492.90988,505.17667,519.62524,533.04736,547.60034,566.3217,590.8373,618.55597,621.46173,638.4228,639.0217,675.82245,700.99664,686.8168,708.95856,707.5704,704.9804
904.5796,750.1636,718.5344,714.25354,698.6458,686.17596,677.8188,677.67633,698.2842,667.6267,711.37616,724.9473,724.09296,766.88055,773.2907,770.8386,768.12573,770.7388,769.62244,792.58954,801.88525,801.83685,786.7998,806.99884,800.4937,848.1471,860.83453,833.1809,875.02716,913.60986,963.41907
264.65002,236.05276,225.58926,230.5316,224.9996,238.3468,239.89124,241.60118,252.74577,253.31691,253.68875,270.926,291.75143,294.99738,309.63657,318.35248,328.24716,328.46527,344.00412,353.39734,357.96008,380.8795,383.54346,402.76907,391.9996,402.2973,407.29007,418.3285,429.13376,434.1447,443.67133
258.1585,228.68083,218.69264,224.53804,219.08398,231.46542,232.38503,234.40851,245.10521,245.25574,246.97926,262.96136,283.65964,286.417,300.99115,310.1351,319.72943,319.96393,336.41702,344.80518,348.24222,371.16055,373.51465,393.23907,382.23483,393.07947,398.3318,408.59195,418.25308,423.9049,433.94177
682.141,584.3112,535.6988,526.6885,540.2583,538.43677,543.43585,544.1035,556.242,555.3017,581.8082,581.0545,598.09485,621.04517,636.2803,646.10394,656.9126,667.42834,674.13904,699.5564,723.795,737.48865,733.78265,754.6659,751.9486,796.52386,809.42035,794.5449,828.14905,832.3446,849.18066
632.32104,525.06506,490.49512,487.75272,497.2351,495.29294,499.0784,497.89362,513.3351,511.72986,536.5535,538.0712,555.5168,575.6581,591.5078,601.04065,612.8699,623.5641,631.20074,654.01697,677.26166,694.1779,690.53735,709.82513,704.995,749.333,759.6249,741.79095,777.9924,778.38983,795.6272
329.41156,338.3418,348.0297,345.49185,351.43286,359.11835,360.50143,358.66263,372.07544,373.89874,387.61172,403.31894,408.66138,422.31958,433.7459,444.52737,456.75543,465.0652,478.04715,492.8065,505.89673,534.0782,537.9545,552.3472,550.2679,584.39984,606.7234,593.8674,612.9315,617.3309,614.6791
310.73785,372.51785,365.96756,365.84906,369.22464,371.6285,376.02115,371.70187,390.29507,391.07184,404.6907,413.94482,423.80774,437.4601,452.94595,465.8096,481.34402,491.48596,502.51526,522.2527,541.72266,569.71466,560.64844,587.77295,582.1577,619.7318,640.97473,627.85986,648.6802,649.87164,644.1675
336.683,353.7985,363.42215,359.82816,365.26526,370.9603,372.1736,370.173,384.84772,385.3766,400.3105,414.67935,421.06912,435.69135,447.896,459.37912,471.8695,482.22284,495.7461,511.17694,527.6789,556.0577,558.01245,573.54456,571.95605,607.0876,629.99634,615.94806,636.39923,639.26483,636.4599
322.27618,256.46802,243.73758,247.88202,245.18541,263.70105,265.10187,265.47134,276.95526,276.23944,276.5599,300.30167,315.34406,321.52368,333.95737,342.6404,351.9818,353.1696,364.5012,378.48123,382.9561,404.36948,406.74655,424.00812,416.13547,428.96866,435.66483,447.00366,461.37543,463.50168,469.64792
346.40094,278.3354,265.21295,263.25934,263.13452,282.33932,285.8932,286.32315,296.15845,297.56848,297.0692,322.2184,336.99463,345.06342,356.6848,363.28064,374.47507,378.41528,386.84802,403.08713,409.39633,430.40802,436.0561,449.82748,444.69064,460.59213,466.42804,477.12415,493.32388,494.76144,500.50613
342.66763,265.5034,244.9418,246.59227,243.2575,261.36343,263.24478,263.7664,275.2786,274.3388,274.98392,298.05203,312.92026,319.2639,331.51404,340.34866,349.24857,350.09537,361.471,375.03687,379.19196,400.00497,402.17355,419.7322,411.51517,424.22482,430.32062,441.30304,456.0456,458.80768,465.3887
452.19363,419.90402,432.0225,424.739,431.5354,437.18488,433.39413,434.63394,454.47968,445.0507,473.02582,480.66696,485.96524,503.48178,519.0877,528.488,540.23303,551.48694,562.1262,582.72723,600.3413,623.5179,621.21295,639.17786,638.6285,678.1719,698.9343,678.45294,707.1186,709.7906,713.0161
427.75595,401.19986,404.50473,397.81226,403.896,412.03915,408.53366,406.78473,426.96143,418.48077,444.78085,454.99948,456.4331,474.08148,486.79105,497.09927,506.6326,516.31213,528.4108,545.87006,558.037,582.7302,581.29694,596.8494,593.57904,633.6938,650.4618,629.1682,659.15393,664.1015,669.9049
442.57977,381.22983,347.96893,324.079,319.61548,327.38934,332.49127,332.8577,339.93268,346.3998,354.31894,372.37317,385.14163,399.21744,407.48297,415.99503,426.98367,433.5488,443.91415,459.04504,470.74774,495.48486,508.40536,524.0136,525.00934,551.2568,576.79956,577.38727,593.0789,597.5811,595.57904
488.97433,452.51602,440.5616,421.38913,412.5193,404.25058,401.94113,391.33115,393.60718,391.08743,401.7329,415.91888,426.59415,445.0109,455.443,464.68118,477.99432,490.59308,505.699,521.77026,541.702,571.6956,587.6161,612.2977,619.78033,657.9298,689.8322,691.0544,715.9002,718.6595,724.03937
397.84415,384.53278,378.9328,371.69662,377.24173,388.20398,385.92368,381.3101,400.8577,394.6256,418.45676,431.47955,430.49823,445.5205,456.1338,466.40063,474.6378,481.56323,494.3117,509.61618,516.5271,541.698,543.49194,555.5189,550.86,591.47656,604.7045,585.24115,614.08606,621.6317,629.632
479.75592,413.89023,415.22028,405.40488,404.56494,404.2963,403.67648,397.31836,417.46472,418.43088,433.6878,441.56787,455.43106,469.2195,486.58292,498.19202,514.54364,524.9316,539.1447,556.49805,577.2889,600.6775,593.9919,613.0146,606.8569,647.48773,655.0098,640.5935,676.42487,673.744,684.4761
439.6704,418.41876,426.1366,419.12476,425.04352,431.13004,427.54938,428.08615,448.06012,438.72635,465.8722,474.1353,479.11325,496.24026,511.48032,520.9702,531.7729,542.6929,554.0428,573.36475,589.8798,613.70123,611.46765,627.9511,625.4924,666.0191,683.89075,661.62103,693.19745,696.386,701.3447
411.84006,397.3246,397.1529,390.43884,395.89502,404.06113,401.15228,398.80878,418.77963,411.21896,436.04514,447.0562,448.1852,464.9758,477.39755,488.00888,497.01886,506.24173,519.03033,535.5711,546.9515,572.238,570.9475,585.37494,581.176,622.0959,636.8352,615.8287,646.69,652.06445,658.4002
399.9122,387.5091,383.50677,376.5806,382.17902,392.2708,389.78555,385.7394,405.51654,398.85913,423.00958,435.52307,435.12454,450.61655,461.64343,472.18857,480.44754,488.19513,501.0506,516.6869,524.9471,550.30023,550.9061,563.6996,558.8776,599.81226,613.5239,593.54865,623.0125,629.90845,637.4797
725.8409,716.7794,696.8875,678.6327,678.5212,678.4842,688.4044,686.34186,693.90936,692.8647,701.5842,711.15155,734.6259,760.4164,779.5682,791.3198,810.6881,827.10657,830.9196,850.91327,888.75085,899.33386,902.8907,927.9794,945.5756,980.833,1027.1968,1031.0717,1040.5916,1054.8679,1053.4752
299.7005,281.99234,297.9061,298.79294,301.50043,313.0612,314.502,315.62167,323.55283,333.96082,332.55447,354.20648,372.7576,381.26138,392.86737,402.53452,416.40207,423.03787,435.58746,452.30515,465.71957,491.5506,501.0493,512.49884,511.19168,532.83905,556.4326,555.3634,566.84143,570.9434,564.67236
262.86523,232.82462,241.95663,250.20427,247.60226,265.0255,264.06125,265.73044,276.19678,276.4233,275.1693,299.81348,318.33466,323.43518,336.93356,345.08395,355.59097,358.3868,370.05008,383.75708,390.1325,413.44485,416.7785,433.3958,425.9381,437.1578,446.8635,459.61203,470.3503,471.4891,475.43454
287.72217,246.7015,249.63037,255.68724,255.13179,273.4609,274.51886,275.48428,285.73834,286.2523,284.98514,310.3588,327.10953,334.5375,346.75574,353.9119,364.97754,368.79205,378.1729,393.3341,400.08386,422.36273,426.98972,442.26968,436.48727,449.58444,457.6009,469.94006,482.99512,483.64868,487.9392
249.62985,422.15826,350.52106,360.46158,363.80997,376.72723,366.48785,365.96677,387.528,383.28207,402.6224,416.84656,414.85843,428.28885,443.3552,454.55783,465.5498,471.6854,488.81165,505.67755,515.12897,543.45715,542.9327,557.78766,559.9396,596.8474,622.6388,606.3125,623.1415,630.7661,622.42645
271.57318,249.59857,259.13556,262.70654,262.07166,279.93027,279.98462,280.9009,291.09674,293.7834,290.4825,317.02985,334.94025,340.92218,354.29425,360.7952,373.6299,378.32584,388.46466,404.38693,412.29895,435.00583,441.34894,454.926,449.69836,463.71548,473.08472,485.45813,496.72702,497.67392,501.07565
380.79697,408.75275,394.30347,384.02472,376.3487,372.20563,375.33405,368.16223,385.43335,396.2068,396.32538,408.64343,432.06287,435.8626,456.74622,468.6527,488.42175,499.76086,520.39294,533.6419,565.1593,590.9552,585.9378,603.28326,595.35925,634.59,638.3843,630.7584,664.7335,656.62573,665.7032
356.34363,380.08218,382.6223,374.06818,374.41263,376.4696,377.7039,374.0691,388.4527,392.40356,403.80496,417.2724,429.17084,441.72592,455.86276,467.71268,481.59293,493.12357,509.71097,524.5295,545.0958,573.5538,576.1292,589.84827,585.1889,621.72644,637.6022,622.0312,649.89075,651.3748,654.0098
290.3767,316.43555,345.22363,337.29465,337.27646,337.83313,342.7471,343.51413,351.54208,367.89468,362.26135,379.43573,404.64545,410.13843,427.17722,438.67978,459.43085,469.95074,485.42538,500.7177,529.78784,555.02106,553.9918,577.9811,575.4752,604.646,637.5923,629.2413,640.2925,639.2437,626.0585
281.35925,258.94284,268.4263,270.15173,270.7991,288.20142,289.15488,289.9514,299.13443,303.74762,300.0865,325.97617,344.20694,350.67584,363.82834,370.74164,383.49554,389.149,399.29694,416.28644,424.64716,447.5159,455.34732,467.45206,463.3439,478.72446,489.1161,499.44522,511.71426,513.5094,516.3126
382.53195,314.9386,283.22488,267.87708,262.8788,278.47018,285.61218,287.0198,296.13428,298.29214,297.57153,320.20258,336.61258,345.58197,357.113,363.3828,375.06134,379.17456,386.4767,401.5481,409.02118,430.1697,436.0035,450.20346,444.02457,457.98724,461.08252,470.79062,488.57532,490.83603,498.2727
652.73944,674.4465,683.07983,673.9653,677.3896,678.78723,692.08167,684.8733,685.6402,679.83453,688.84326,698.39954,719.24585,747.37366,767.18634,779.437,800.2875,818.5973,826.00946,846.82074,885.1888,897.8545,905.6746,933.04474,952.90454,990.6171,1032.81,1032.7343,1046.1448,1059.9674,1063.1797
269.3388,253.01392,267.61392,269.96008,270.33374,287.29846,287.2525,288.53583,297.67493,302.282,297.92056,324.61514,343.37982,349.2269,362.9484,369.65628,382.84818,388.7047,398.9534,415.76907,424.83936,448.17276,455.65363,468.10056,464.6136,478.93286,491.60568,502.27835,512.0506,514.00934,515.39325
762.44794,735.898,702.8804,676.7801,674.9933,675.9661,687.1951,691.05,700.14514,701.85016,706.2108,714.42505,740.3898,760.0744,779.3374,793.65576,812.6107,828.77655,831.7021,853.1185,892.7202,903.4123,905.4343,928.46387,944.54767,979.7625,1027.141,1030.7039,1039.2336,1051.7753,1047.4425
279.18423,273.0946,291.05698,289.85687,291.8273,305.31824,305.57828,306.98425,314.97702,324.66547,320.66028,344.77203,364.10428,370.63782,383.84827,392.3774,406.3622,412.5997,424.86487,442.37,453.6212,479.0522,487.98373,498.46503,496.86328,515.3143,536.11096,537.99396,548.7545,552.8688,549.22455
266.37988,248.83763,267.73117,270.9225,271.6014,287.65344,287.73428,289.57874,297.99982,303.00287,298.26022,324.92627,344.7107,350.65036,364.38504,371.12924,384.4931,391.003,400.83655,417.51276,427.96597,451.83218,459.39996,472.07452,469.62625,482.89874,498.3582,508.60327,516.27606,518.7036,518.2475
263.2042,242.97809,260.66287,265.1812,265.10696,281.67273,281.44394,283.41574,292.43283,295.63867,291.73328,318.6858,337.95782,343.73962,357.5044,363.72495,377.08597,382.81866,392.59952,408.4041,418.33978,441.61798,448.42252,461.98615,458.20425,470.85413,483.28204,495.67844,504.01016,505.78485,506.5315
295.469,351.56036,349.02124,347.6656,351.37323,356.55988,360.40396,355.85852,372.41833,376.41666,386.98218,399.19595,407.75473,419.67392,434.01294,445.91315,461.4333,469.73834,481.25708,499.4228,516.09326,545.2513,540.45154,561.75385,558.19196,593.3568,614.47205,602.51,621.49634,624.6709,619.0474
504.87552,498.7089,537.98944,548.7923,569.1249,566.156,585.9218,590.77423,596.238,611.264,619.4958,619.82874,655.53516,671.5778,690.25006,706.86176,730.2555,743.9712,751.48737,778.45496,822.24567,832.92505,832.8601,857.2263,864.81213,903.8258,931.6907,935.6558,949.46515,950.5392,952.91187
